# ========
# captured on: Mon Nov 10 22:27:47 2014
# hostname : euler16
# os release : 2.6.32-358.6.2.el6.x86_64
# perf version : 2.6.32-358.23.2.el6.x86_64.debug
# arch : x86_64
# nrcpus online : 64
# nrcpus avail : 64
# cpudesc : AMD Opteron(TM) Processor 6274 
# cpuid : AuthenticAMD,21,1,2
# total memory : 132151156 kB
# cmdline : /usr/bin/perf record -a -e branch-misses -o rs_32.branch -- ./dress 
# event : name = branch-misses, type = 0, config = 0x5, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, excl_host = 0, excl_guest = 1, precise_ip = 0, id = { 16129, 16130, 16131, 16132, 16133, 16134, 16135, 16136, 16137, 16138, 16139, 16140, 16141, 16142, 16143, 16144, 16145, 16146, 16147, 16148, 16149, 16150, 16151, 16152, 16153, 16154, 16155, 16156, 16157, 16158, 16159, 16160, 16161, 16162, 16163, 16164, 16165, 16166, 16167, 16168, 16169, 16170, 16171, 16172, 16173, 16174, 16175, 16176, 16177, 16178, 16179, 16180, 16181, 16182, 16183, 16184, 16185, 16186, 16187, 16188, 16189, 16190, 16191, 16192 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 832K of event 'branch-misses'
# Event count (approx.): 815145440
#
# Overhead,Command,Shared Object,Symbol
10.53,          dress,dress                      ,[.] thrust::detail::normal_iterator<float*> thrust::operator+<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long>(thrust::iterator_facade<thrust::detail::normal_iterator<float*>, float, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, float&, long> const&, thrust::detail::normal_iterator<float*>::difference_type)                                            
3.17,          dress,dress                      ,[.] thrust::iterator_adaptor<thrust::detail::normal_iterator<float*>, float*, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default, thrust::use_default>::advance(long)                                                                                                                                                                                                                                                                         
2.96,          dress,dress                      ,[.] void thrust::iterator_core_access::advance<thrust::detail::normal_iterator<float*> >(thrust::detail::normal_iterator<float*>&, thrust::detail::normal_iterator<float*>::difference_type)                                                                                                                                                                                                                                                                                  
2.42,          dress,libChronoEngine_Parallel.so,[.] overlap(real3, real3, real3, real3)                                                                                                                                                                                                                                                                                                                                                                                                                                       
0.06,          dress,dress                      ,[.] void chrono::ChMatrix<double>::CopyFromMatrix<double>(chrono::ChMatrix<double> const&)                                                                                                                                                                                                                                                                                                                                                                                    
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::system::detail::generic::count_if_transform<unsigned int, thrust::detail::equal_to_value<int>, long>::operator()(unsigned int const&)                                                                                                                                                                                                                                                                                                                             
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::derived() const                    
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, long long&, long>::derived() const                                                                                                                                                                                                          
0.06,          dress,dress                      ,[.] chrono::ChSharedPtr<chrono::ChAsset>::ChSharedPtr(chrono::ChSharedPtr<chrono::ChAsset> const&)                                                                                                                                                                                                                                                                                                                                                                            
0.06,          dress,libChronoEngine_Parallel.so,[.] _ZNK5real35crossERKS_@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tuple_meta_transform<thrust::tuple<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_typ
0.06,          dress,dress                      ,[.] chrono::ChMatrix<double>::SetElementN(int, double)                                                                                                                                                                                                                                                                                                                                                                                                                        
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<1, thrust::detail::cons<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type> > >::type>::const_type thrust::get<1, thrust::detail::tagged_
0.06,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust20iterator_core_access11dereferenceINS_6detail15tagged_iteratorINS_7pointerIiNS_6system3omp6detail5par_tENS_11use_defaultES9_EES8_EEEENT_9referenceERKSC_@plt                                                                                                                                                                                                                                                                                                   
0.06,          dress,libc-2.12.so               ,[.] str_to_mpn                                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.06,          dress,libChronoEngine_Parallel.so,[.] cross(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                         
0.06,          dress,libc-2.12.so               ,[.] memcpy                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
0.06,          dress,libChronoEngine_Utils.so   ,[.] void std::vector<chrono::ChSharedPtr<chrono::ChAsset>, std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > >::_M_emplace_back_aux<chrono::ChSharedPtr<chrono::ChAsset> >(chrono::ChSharedPtr<chrono::ChAsset>&&)                                                                                                                                                                                                                                                        
0.06,          dress,dress                      ,[.] chrono::ChShared::AddRef()                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::functional::composite<thrust::detail::functional::binary_operator<thrust::plus>, thrust::detail::functional::value<int>, thrust::detail::functional::actor<thrust::detail::functional::composite<thrust::detail::functional::binary_operator<thrust::multiplies>, thrust::detail::functional::value<int>, thrust::detail::functional::actor<thrust::detail::functional::argument<0u> >, thrust::null_type, thrust::null_type, thrust::null_type, thrust::n
0.06,          dress,libChronoEngine_Parallel.so,[.] _ZNSt16allocator_traitsISaIN6chrono9collision24ChCollisionModelParallel5bDataEEE9constructIS3_JRKS3_EEEDTcl12_S_constructfp_fp0_spcl7forwardIT0_Efp1_EEERS4_PT_DpOS9_                                                                                                                                                                                                                                                                                                     
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, long long*, long long, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::advance(long)                                                            
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type>::cons<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const>(thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, 
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<unsigned int*>, unsigned int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, unsigned int&, long>::derived() const                                                                                                                                                                                                                                                                        
0.06,          dress,libChronoEngine.so         ,[.] chrono::ChMatrix33<double>::ChMatrix33(double)                                                                                                                                                                                                                                                                                                                                                                                                                            
0.06,          dress,dress                      ,[.] chrono::ChSharedPtr<chrono::ChAsset>::release()                                                                                                                                                                                                                                                                                                                                                                                                                           
0.06,          dress,libChronoEngine.so         ,[.] chrono::ChMatrix33<double>::ChMatrix33(chrono::ChMatrix33<double> const&)                                                                                                                                                                                                                                                                                                                                                                                                 
0.06,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::pointer_traits<long const*>::get(long const*)                                                                                                                                                                                                                                                                                                                                                                                                             
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>::operator&() const                                                                                                                                                                                                                                                                                            
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const>::type thrust::raw_reference_cast<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> >(thrust::reference<long long, thrust::pointer<long long, thrust::system::om
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::pointer<long long, thrust::system::cpp::detail::tag, thrust::use_default, thrust::use_default>::get() const                                                                                                                                                                                                                                                                                                                                                       
0.05,          dress,libc-2.12.so               ,[.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.05,          dress,libChronoEngine_Parallel.so,[.] _ZNK6thrust7pointerIxNS_6system3omp6detail5par_tENS_11use_defaultES5_E11dereferenceEv@plt                                                                                                                                                                                                                                                                                                                                                                                 
0.05,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::increment<thrust::zip_iterator<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::normal_iterator<int*>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> > >(thrust::zip_iterator<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_de
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>, thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type> >::get_head()                                                                                                           
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tuple_of_iterator_references<long long&, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>::tuple_of_iterator_references(thrust::tuple<long long&, thrust::reference<long long, thrust:
0.05,          dress,libChronoEngine_Parallel.so,[.] void std::vector<chrono::collision::ChCollisionModelParallel::bData, std::allocator<chrono::collision::ChCollisionModelParallel::bData> >::_M_emplace_back_aux<chrono::collision::ChCollisionModelParallel::bData const&>(chrono::collision::ChCollisionModelParallel::bData const&&&)                                                                                                                                                                                    
0.05,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust9referenceIiNS_7pointerIiNS_6system3omp6detail5par_tENS_11use_defaultES6_EES6_EC1ERKS7_@plt                                                                                                                                                                                                                                                                                                                                                                     
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<long>::type thrust::raw_reference_cast<long>(long&)                                                                                                                                                                                                                                                                                                                                                                                         
0.05,        swapper,[kernel.kallsyms]          ,[k] 0xffffffff8101ba79                                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.05,          dress,libChronoEngine_Parallel.so,[.] int& thrust::detail::get_class<1>::get<int&, long, thrust::detail::cons<int&, thrust::null_type> >(thrust::detail::cons<long, thrust::detail::cons<int&, thrust::null_type> >&)                                                                                                                                                                                                                                                                                           
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::constant_iterator<real3, thrust::use_default, thrust::use_default>, real3, thrust::any_system_tag, thrust::random_access_traversal_tag, real3, long>::operator++()                                                                                                                                                                                                                                                                        
0.05,          dress,libChronoEngine_Parallel.so,[.] int& thrust::detail::get_class<1>::get<int&, int&, thrust::detail::cons<int&, thrust::null_type> >(thrust::detail::cons<int&, thrust::detail::cons<int&, thrust::null_type> >&)                                                                                                                                                                                                                                                                                           
0.05,          dress,libChronoEngine.so         ,[.] chrono::Q_from_AngAxis(double, chrono::ChVector<double> const&)                                                                                                                                                                                                                                                                                                                                                                                                           
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<long long&, thrust::detail::cons<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, thrust::null_type> >::cons<long long, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const, thrust::null_type const, thrust::null_type con
0.05,          dress,libChronoEngine_Parallel.so,[.] dot(real3 const&, real3 const&)                                                                                                                                                                                                                                                                                                                                                                                                                                           
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> const& thrust::detail::get_class<0>::get<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> const&, thrust::detail::tagged_iterator<thrust::pointer<long long, th
0.05,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::advance<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>&, thrust::detail::tagged_iterator<thrust::pointer<long long, thru
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<long long*>, thrust::system::omp::detail::par_t>, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, long long&, long>::operator*() const                                                                                                                                                                                                        
0.05,          dress,dress                      ,[.] thrust::detail::contiguous_storage<float, std::allocator<float> >::operator[](unsigned long)                                                                                                                                                                                                                                                                                                                                                                              
0.05,          dress,libChronoEngine_Parallel.so,[.] real3::operator-(real3 const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int*, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::increment()                                                                                      
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<int*>, int, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, int&, long>::derived() const                                                                                                                                                                                                                                                                                                   
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int*, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::base() const                                                                                     
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<0, thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> > >::type>::non_const_type thrust::get<0, long long&, thrust::detail::cons<long long&, thrust::null_type> >(thrust::detail::cons<long long&, thrust::detail::cons<long long&, thrust::null_type> >&)                                                                                                                                  
0.05,          dress,libChronoEngine_Parallel.so,[.] short2* thrust::detail::two_system_copy<thrust::system::cpp::detail::tag, thrust::system::cpp::detail::tag, thrust::detail::normal_iterator<short2*>, short2*>(thrust::execution_policy<thrust::system::cpp::detail::tag>&, thrust::execution_policy<thrust::system::cpp::detail::tag>&, thrust::detail::normal_iterator<short2*>, thrust::detail::normal_iterator<short2*>, short2*)                                                                                     
0.05,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::advance_iterator<long>::operator()<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>&) const                                                         
0.05,          dress,libChronoEngine_Utils.so   ,[.] void std::vector<chrono::ChSharedPtr<chrono::ChAsset>, std::allocator<chrono::ChSharedPtr<chrono::ChAsset> > >::emplace_back<chrono::ChSharedPtr<chrono::ChAsset> >(chrono::ChSharedPtr<chrono::ChAsset>&&)                                                                                                                                                                                                                                                               
0.05,          dress,libChronoEngine_Parallel.so,[.] bool thrust::zip_iterator<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::normal_iterator<int*>, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type> >::equal<thrust::tuple<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::normal_iterator<int*>, thr
0.05,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust16iterator_adaptorINS_6detail15tagged_iteratorINS1_15normal_iteratorIPiEENS_6system3omp6detail5par_tEEES5_iS9_NS_27random_access_traversal_tagERilE7advanceEl@plt                                                                                                                                                                                                                                                                                               
0.05,          dress,libChronoEngine_Parallel.so,[.] chrono::collision::ChCollisionModelParallel::AddCylinder(double, double, double, chrono::ChVector<double> const&, chrono::ChMatrix33<double> const&)                                                                                                                                                                                                                                                                                                                      
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_adaptor<thrust::transform_iterator<thrust::system::detail::generic::count_if_transform<unsigned int, thrust::detail::equal_to_value<int>, long>, thrust::detail::normal_iterator<unsigned int*>, long, thrust::use_default>, thrust::detail::normal_iterator<unsigned int*>, long, thrust::use_default, std::random_access_iterator_tag, long, thrust::use_default>::increment()                                                                         
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::tuple<long&, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>::tuple(long&)                                                                                                                                                                                                                                                             
0.05,          dress,libChronoEngine_Parallel.so,[.] void thrust::detail::fill_construct_range<std::allocator<short2>, short2*, unsigned long, short2>(std::allocator<short2>&, short2*, unsigned long, short2 const&)                                                                                                                                                                                                                                                                                                         
0.05,          dress,dress                      ,[.] chrono::ChPhysicsItem::GetAssets()                                                                                                                                                                                                                                                                                                                                                                                                                                        
0.05,          dress,dress                      ,[.] chrono::ChMatrix<double>::ChMatrix()                                                                                                                                                                                                                                                                                                                                                                                                                                      
0.05,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust20iterator_core_access7advanceINS_7pointerIiNS_6system3omp6detail5par_tENS_11use_defaultES7_EEEEvRT_NS9_15difference_typeE@plt                                                                                                                                                                                                                                                                                                                                  
0.05,          dress,libChronoEngine_Parallel.so,[.] bool thrust::iterator_adaptor<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, long long*, long long, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::equal<thrust::pointer<long long, thrust::system::omp::detail::
0.05,          dress,libChronoEngine_Parallel.so,[.] thrust::identity<long long>::operator()(long long const&) const                                                                                                                                                                                                                                                                                                                                                                                                           
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<0, thrust::detail::cons<thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::cons<thrust::detail::normal_iterator<int*>, thrust::null_type> > >::type>::const_type thrust::get<0, thrust::counting_iterator<long, thrust::use_default, thrust::use_default, long>, thrust::detail::cons<thrust::detail::normal_iterator<int*>, thrust::null_type> >(thrust::detail::cons<thrust::c
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::advance_iterator<long> thrust::detail::tuple_impl_specific::tuple_for_each<thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type>, thrust::detail::advance_iterator<long>, thrust::system::omp::detail::par_t>(thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<long l
0.04,          dress,dress                      ,[.] void chrono::ChSharedPtr<chrono::ChAsset>::acquire<chrono::ChAsset>(chrono::ChSharedPtr<chrono::ChAsset> const&)                                                                                                                                                                                                                                                                                                                                                          
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<0, thrust::detail::cons<thrust::detail::normal_iterator<real3*>, thrust::detail::cons<thrust::constant_iterator<real3, thrust::use_default, thrust::use_default>, thrust::detail::cons<thrust::detail::normal_iterator<real3*>, thrust::null_type> > > >::type>::const_type thrust::get<0, thrust::detail::normal_iterator<real3*>, thrust::detail::cons<thrust::constant_iterator<real3, thrust::use_default, thrust::use_def
0.04,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust15iterator_facadeINS_7pointerIxNS_6system3omp6detail5par_tENS_11use_defaultES6_EExS5_NS_27random_access_traversal_tagENS_9referenceIxS7_S6_EElEpLEl@plt                                                                                                                                                                                                                                                                                                         
0.04,          dress,libChronoEngine_Parallel.so,[.] void thrust::iterator_core_access::increment<thrust::constant_iterator<real3, thrust::use_default, thrust::use_default> >(thrust::constant_iterator<real3, thrust::use_default, thrust::use_default>&)                                                                                                                                                                                                                                                                    
0.04,          dress,dress                      ,[.] thrust::system::cpp::detail::tag& thrust::detail::derived_cast<thrust::system::cpp::detail::tag>(thrust::detail::execution_policy_base<thrust::system::cpp::detail::tag>&)                                                                                                                                                                                                                                                                                                
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::access_traits<thrust::tuple_element<1, thrust::detail::cons<int&, thrust::detail::cons<int&, thrust::null_type> > >::type>::non_const_type thrust::get<1, int&, thrust::detail::cons<int&, thrust::null_type> >(thrust::detail::cons<int&, thrust::detail::cons<int&, thrust::null_type> >&)                                                                                                                                                                      
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<real3&, thrust::null_type>::cons<real3>(real3&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&, thrust::null_type const&)                                                                                                                                                            
0.04,          dress,libChronoEngine_Parallel.so,[.] chrono::collision::ChCollisionSystemParallel::Add(chrono::collision::ChCollisionModel*)                                                                                                                                                                                                                                                                                                                                                                                   
0.04,          dress,libstdc++.so.6.0.20        ,[.] std::num_get<char, std::istreambuf_iterator<char, std::char_traits<char> > >::do_get(std::istreambuf_iterator<char, std::char_traits<char> >, std::istreambuf_iterator<char, std::char_traits<char> >, std::ios_base&, std::_Ios_Iostate&, double&) const                                                                                                                                                                                                                 
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::iterator_facade<thrust::detail::normal_iterator<real3*>, real3, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, real3&, long>::operator+=(long)                                                                                                                                                                                                                                                                                            
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::functional::composite<thrust::detail::functional::binary_operator<thrust::multiplies>, thrust::detail::functional::value<int>, thrust::detail::functional::actor<thrust::detail::functional::argument<0u> >, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type, thrust::null_type>::result<thrust::tuple<long&, thrust::null_type, thrust::null_type, thrust::null_type,
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::increment_iterator thrust::detail::tuple_impl_specific::tuple_for_each<thrust::detail::cons<thrust::detail::normal_iterator<int*>, thrust::null_type>, thrust::detail::increment_iterator>(thrust::detail::cons<thrust::detail::normal_iterator<int*>, thrust::null_type>&, thrust::detail::increment_iterator, thrust::system::cpp::detail::tag*)                                                                                                        
0.04,          dress,libChronoEngine.so         ,[.] chrono::ChSharedPtr<chrono::ChAsset>* std::__addressof<chrono::ChSharedPtr<chrono::ChAsset> >(chrono::ChSharedPtr<chrono::ChAsset>&)                                                                                                                                                                                                                                                                                                                                      
0.04,          dress,libChronoEngine_Parallel.so,[.] bool thrust::iterator_adaptor<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, int*, int, thrust::system::omp::detail::par_t, thrust::random_access_traversal_tag, thrust::reference<int, thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default>, long>::equal<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::pointer_traits<thrust::pair<real3, real3> const*>::get(thrust::pair<real3, real3> const*)                                                                                                                                                                                                                                                                                                                                                                 
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t>::reference thrust::iterator_core_access::dereference<thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t> >(thrust::detail::tagged_iterator<thrust::detail::normal_iterator<int*>, thrust::system::omp::detail::par_t> const&)                                                                           
0.04,          dress,libChronoEngine_Parallel.so,[.] bool thrust::operator==<thrust::detail::normal_iterator<real3*>, real3, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, real3&, long, thrust::detail::normal_iterator<real3*>, real3, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, real3&, long>(thrust::iterator_facade<thrust::detail::normal_iterator<real3*>, real3, thrust::system::cpp::detail::tag, thrust::random_access_traversal_tag, real3&, long> const&, thr
0.04,          dress,libChronoEngine_Utils.so   ,[.] chrono::ChAsset::ChAsset()                                                                                                                                                                                                                                                                                                                                                                                                                                                
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::cons<thrust::detail::tagged_iterator<thrust::pointer<int, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::system::omp::detail::par_t>, thrust::null_type>::get_tail()                                                                                                                                                                                                                                              
0.04,          dress,libChronoEngine_Parallel.so,[.] thrust::detail::raw_reference<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> const>::type thrust::detail::raw_reference_caster::operator()<thrust::reference<long long, thrust::pointer<long long, thrust::system::omp::detail::par_t, thrust::use_default, thrust::use_default>, thrust::use_default> >(thrust::reference<long long, thrust::pointer<long lo
0.04,          dress,libChronoEngine_Parallel.so,[.] _ZN6thrust15iterator_facadeINS_6detail15normal_iteratorIPxEExNS_6system3cpp6detail3tagENS_27random_access_traversal_tagERxlEpLEl@plt                                                                                                                                                                                                                                                                                                                                      
